id_caso,nombre,nombre_publico,id_ciudad,id_departamento,longitud,latitud,hecho,dinero_juego,dinero_apropiado,dinero_recuperado,id_caso_emblematico,id_icono,id_usuario_creacion,fecha_registro,fecha_informacion_actualizada,publico,activo,subtitulo_publico,no_disponible_dinero_juego,no_disponible_dinero_apropiado,no_disponible_dinero_recuperado,rango_dinero,derecho_vulnerado,nombrePublico,subtituloPublico,id_actor,nombre_actor,tipo_participacion,tipo_actor_individual,tipo_actor_colectivo,institucion,cargo,rama_poder_publico,autoridad_politica,partido,ciudad,ciudad_codigo_dane,departamento,departamento_codigo_dane,sector_afectado,mes_hecho,ano_hecho,ano_final_hecho,dinamica_corrupcion,naturaleza_corrupcion,tipo_corrupcion,medida_anticorrupcion,delito,forma_corrupcion,caso_emblematico,situacion_judicial,detalle_sancion,tipo_investigacion,tipo_etapa_procesal,nombre_actor_autoridad,fecha_historial
80,"2016, Meta, Corrupción Judicial, Jueces cobraban sobornos para garantizar procesos de restitución de tierras",Eso le sale en cien milloncitos,1184,603,-73.59701026953132,4.154202370689763,"En 2016, un juez especializado de restitución de tierras de Villavicencio, junto con otros tres funcionarios de su despacho, habrían contactado a individuos envueltos en procesos judiciales para ofrecerles fallos favorables a cambio del pago de altas sumas de dinero. A partir de la denuncia interpuesta por un ganadero involucrado en un proceso de restitución de tierras en el que un grupo de indígenas reclamaba una de sus fincas, la Fiscalía General de la Nación abrió la investigación contra los funcionarios judiciales. Estos habrían contactado al ganadero proponiéndole fallar a su favor a cambio del pago de 100 millones de pesos. Como resultado de la investigación, la DIJIN capturó a los presuntos involucrados en Villavicencio en junio del 2016 y posteriormente fueron judicializados en Bogotá. Mientras que el juez especializado fue dejado en libertad por la juez a cargo del proceso por falta de pruebas suficientes para determinar su responsabilidad, los otros tres funcionarios fueron condenados, habiendo uno de ellos aceptado su responsabilidad por el delito de concusión.",100000000,NA,NA,7,NA,1,2019-03-21 11:55:16,2016-06-11 05:00:00,1,1,Juzgado cobró 100 millones por fallar en favor de ganadero,0,1,1,1,"Derechos sociales, económicos y culturales",Eso le sale en cien milloncitos,Juzgado cobró 100 millones por fallar en favor de ganadero,373,Ana María Arias Trujillo,Actor involucrado,Servidores públicos,No Aplica,Juzgado Tercero Especializado de Villavicencio,Asistente del despacho judicial,Rama Judicial,No,No Disponible,VILLAVICENCIO,50001,META,50000,Agricultura y desarrollo rural,NA,2016,2016,NA,Otros procesos administrativos,Corrupción judicial,NA,"Concierto para delinquir,Concusión,Prevaricato",Pequeña corrupción,informe II 2016-2018,Condenado penalmente,NA,Penal,Fallo: culpable,Fiscalía General de la Nación,2016
80,"2016, Meta, Corrupción Judicial, Jueces cobraban sobornos para garantizar procesos de restitución de tierras",Eso le sale en cien milloncitos,1184,603,-73.59701026953132,4.154202370689763,"En 2016, un juez especializado de restitución de tierras de Villavicencio, junto con otros tres funcionarios de su despacho, habrían contactado a individuos envueltos en procesos judiciales para ofrecerles fallos favorables a cambio del pago de altas sumas de dinero. A partir de la denuncia interpuesta por un ganadero involucrado en un proceso de restitución de tierras en el que un grupo de indígenas reclamaba una de sus fincas, la Fiscalía General de la Nación abrió la investigación contra los funcionarios judiciales. Estos habrían contactado al ganadero proponiéndole fallar a su favor a cambio del pago de 100 millones de pesos. Como resultado de la investigación, la DIJIN capturó a los presuntos involucrados en Villavicencio en junio del 2016 y posteriormente fueron judicializados en Bogotá. Mientras que el juez especializado fue dejado en libertad por la juez a cargo del proceso por falta de pruebas suficientes para determinar su responsabilidad, los otros tres funcionarios fueron condenados, habiendo uno de ellos aceptado su responsabilidad por el delito de concusión.",100000000,NA,NA,7,NA,1,2019-03-21 11:55:16,2016-06-11 05:00:00,1,1,Juzgado cobró 100 millones por fallar en favor de ganadero,0,1,1,1,"Derechos sociales, económicos y culturales",Eso le sale en cien milloncitos,Juzgado cobró 100 millones por fallar en favor de ganadero,372,Carlos Augusto Moreno Acevedo,Actor involucrado,Altos Dignatarios,No Aplica,Juzgado Tercero Especializado de Villavicencio,Juez especializado,Rama Judicial,No,No Disponible,VILLAVICENCIO,50001,META,50000,Agricultura y desarrollo rural,NA,2016,2016,NA,Otros procesos administrativos,Corrupción judicial,NA,"Concierto para delinquir,Concusión,Prevaricato",Pequeña corrupción,informe II 2016-2018,Absuelto,NA,Penal,Fallo: absolución,Fiscalía General de la Nación,2016
80,"2016, Meta, Corrupción Judicial, Jueces cobraban sobornos para garantizar procesos de restitución de tierras",Eso le sale en cien milloncitos,1184,603,-73.59701026953132,4.154202370689763,"En 2016, un juez especializado de restitución de tierras de Villavicencio, junto con otros tres funcionarios de su despacho, habrían contactado a individuos envueltos en procesos judiciales para ofrecerles fallos favorables a cambio del pago de altas sumas de dinero. A partir de la denuncia interpuesta por un ganadero involucrado en un proceso de restitución de tierras en el que un grupo de indígenas reclamaba una de sus fincas, la Fiscalía General de la Nación abrió la investigación contra los funcionarios judiciales. Estos habrían contactado al ganadero proponiéndole fallar a su favor a cambio del pago de 100 millones de pesos. Como resultado de la investigación, la DIJIN capturó a los presuntos involucrados en Villavicencio en junio del 2016 y posteriormente fueron judicializados en Bogotá. Mientras que el juez especializado fue dejado en libertad por la juez a cargo del proceso por falta de pruebas suficientes para determinar su responsabilidad, los otros tres funcionarios fueron condenados, habiendo uno de ellos aceptado su responsabilidad por el delito de concusión.",100000000,NA,NA,7,NA,1,2019-03-21 11:55:16,2016-06-11 05:00:00,1,1,Juzgado cobró 100 millones por fallar en favor de ganadero,0,1,1,1,"Derechos sociales, económicos y culturales",Eso le sale en cien milloncitos,Juzgado cobró 100 millones por fallar en favor de ganadero,28,Fiscalía General de la Nación,Actor de Conocimiento,No Aplica,Entidades del Estado,Fiscalía General de la Nación,No Aplica,Rama Judicial,No,No Aplica,VILLAVICENCIO,50001,META,50000,Agricultura y desarrollo rural,NA,2016,2016,NA,Otros procesos administrativos,Corrupción judicial,NA,"Concierto para delinquir,Concusión,Prevaricato",Pequeña corrupción,informe II 2016-2018,NA,NA,NA,NA,NA,NA
80,"2016, Meta, Corrupción Judicial, Jueces cobraban sobornos para garantizar procesos de restitución de tierras",Eso le sale en cien milloncitos,1184,603,-73.59701026953132,4.154202370689763,"En 2016, un juez especializado de restitución de tierras de Villavicencio, junto con otros tres funcionarios de su despacho, habrían contactado a individuos envueltos en procesos judiciales para ofrecerles fallos favorables a cambio del pago de altas sumas de dinero. A partir de la denuncia interpuesta por un ganadero involucrado en un proceso de restitución de tierras en el que un grupo de indígenas reclamaba una de sus fincas, la Fiscalía General de la Nación abrió la investigación contra los funcionarios judiciales. Estos habrían contactado al ganadero proponiéndole fallar a su favor a cambio del pago de 100 millones de pesos. Como resultado de la investigación, la DIJIN capturó a los presuntos involucrados en Villavicencio en junio del 2016 y posteriormente fueron judicializados en Bogotá. Mientras que el juez especializado fue dejado en libertad por la juez a cargo del proceso por falta de pruebas suficientes para determinar su responsabilidad, los otros tres funcionarios fueron condenados, habiendo uno de ellos aceptado su responsabilidad por el delito de concusión.",100000000,NA,NA,7,NA,1,2019-03-21 11:55:16,2016-06-11 05:00:00,1,1,Juzgado cobró 100 millones por fallar en favor de ganadero,0,1,1,1,"Derechos sociales, económicos y culturales",Eso le sale en cien milloncitos,Juzgado cobró 100 millones por fallar en favor de ganadero,374,Humberto Trujillo Sandoval,Actor involucrado,Servidores públicos,No Aplica,Juzgado Tercero Especializado de Villavicencio,Funcionario judicial,Rama Judicial,No,No Disponible,VILLAVICENCIO,50001,META,50000,Agricultura y desarrollo rural,NA,2016,2016,NA,Otros procesos administrativos,Corrupción judicial,NA,"Concierto para delinquir,Concusión,Prevaricato",Pequeña corrupción,informe II 2016-2018,Condenado penalmente,NA,Penal,Fallo: culpable,Fiscalía General de la Nación,2016
80,"2016, Meta, Corrupción Judicial, Jueces cobraban sobornos para garantizar procesos de restitución de tierras",Eso le sale en cien milloncitos,1184,603,-73.59701026953132,4.154202370689763,"En 2016, un juez especializado de restitución de tierras de Villavicencio, junto con otros tres funcionarios de su despacho, habrían contactado a individuos envueltos en procesos judiciales para ofrecerles fallos favorables a cambio del pago de altas sumas de dinero. A partir de la denuncia interpuesta por un ganadero involucrado en un proceso de restitución de tierras en el que un grupo de indígenas reclamaba una de sus fincas, la Fiscalía General de la Nación abrió la investigación contra los funcionarios judiciales. Estos habrían contactado al ganadero proponiéndole fallar a su favor a cambio del pago de 100 millones de pesos. Como resultado de la investigación, la DIJIN capturó a los presuntos involucrados en Villavicencio en junio del 2016 y posteriormente fueron judicializados en Bogotá. Mientras que el juez especializado fue dejado en libertad por la juez a cargo del proceso por falta de pruebas suficientes para determinar su responsabilidad, los otros tres funcionarios fueron condenados, habiendo uno de ellos aceptado su responsabilidad por el delito de concusión.",100000000,NA,NA,7,NA,1,2019-03-21 11:55:16,2016-06-11 05:00:00,1,1,Juzgado cobró 100 millones por fallar en favor de ganadero,0,1,1,1,"Derechos sociales, económicos y culturales",Eso le sale en cien milloncitos,Juzgado cobró 100 millones por fallar en favor de ganadero,376,Juez 37 de control de garantías de Bogotá,Actor de Conocimiento,Altos Dignatarios,No Aplica,No disponible,Juez 37 de control de garantías de Bogotá,Rama Judicial,No,No Disponible,VILLAVICENCIO,50001,META,50000,Agricultura y desarrollo rural,NA,2016,2016,NA,Otros procesos administrativos,Corrupción judicial,NA,"Concierto para delinquir,Concusión,Prevaricato",Pequeña corrupción,informe II 2016-2018,NA,NA,NA,NA,NA,NA
80,"2016, Meta, Corrupción Judicial, Jueces cobraban sobornos para garantizar procesos de restitución de tierras",Eso le sale en cien milloncitos,1184,603,-73.59701026953132,4.154202370689763,"En 2016, un juez especializado de restitución de tierras de Villavicencio, junto con otros tres funcionarios de su despacho, habrían contactado a individuos envueltos en procesos judiciales para ofrecerles fallos favorables a cambio del pago de altas sumas de dinero. A partir de la denuncia interpuesta por un ganadero involucrado en un proceso de restitución de tierras en el que un grupo de indígenas reclamaba una de sus fincas, la Fiscalía General de la Nación abrió la investigación contra los funcionarios judiciales. Estos habrían contactado al ganadero proponiéndole fallar a su favor a cambio del pago de 100 millones de pesos. Como resultado de la investigación, la DIJIN capturó a los presuntos involucrados en Villavicencio en junio del 2016 y posteriormente fueron judicializados en Bogotá. Mientras que el juez especializado fue dejado en libertad por la juez a cargo del proceso por falta de pruebas suficientes para determinar su responsabilidad, los otros tres funcionarios fueron condenados, habiendo uno de ellos aceptado su responsabilidad por el delito de concusión.",100000000,NA,NA,7,NA,1,2019-03-21 11:55:16,2016-06-11 05:00:00,1,1,Juzgado cobró 100 millones por fallar en favor de ganadero,0,1,1,1,"Derechos sociales, económicos y culturales",Eso le sale en cien milloncitos,Juzgado cobró 100 millones por fallar en favor de ganadero,375,Rigaúl Sanclemente Cardona,Actor involucrado,Servidores públicos,No Aplica,Juzgado Tercero Especializado de Villavicencio,Funcionario judicial,Rama Judicial,No,No Disponible,VILLAVICENCIO,50001,META,50000,Agricultura y desarrollo rural,NA,2016,2016,NA,Otros procesos administrativos,Corrupción judicial,NA,"Concierto para delinquir,Concusión,Prevaricato",Pequeña corrupción,informe II 2016-2018,Condenado penalmente,NA,Penal,Fallo: culpable,Fiscalía General de la Nación,2016
222,"2012-2015, Buenaventura, Valle del Cauca,  corrupción administrativa, captura exalcalde de Buenaventura (2012-2015) Bartolo Valencia",Qué mala educación...,1504,611,-77.01972119999999,3.8830471,"Entre 2012 y 2015, Bartolo Valencia Ramos, alcalde de Buenaventura, junto con Carlos Riascos, secretario de educación de la época, y Rosminda Sanclemente, rectora de un centro educativo del municipio, se habrían apropiado de recursos de cuatro contratos por un valor cercano a los 5.000 millones de pesos destinados a servicios para estudiantes de bajos recursos. Según la investigación de la Fiscalía General de la Nación, los tres funcionarios se apropiaron de ese dinero de diversas maneras, entre ellas a través de subcontratación con terceros e inscripción de estudiantes “fantasma”, sustentando por ejemplo servicios a 100 estudiantes que no existen. En 2015 el alcalde fue capturado y posteriormente dejado en libertad, pero en marzo de 2016 fue recapturado junto con el secretario de educación y la rectora para responder por los delitos de peculado, concierto para delinquir y contrato sin el cumplimiento de los requisitos legales.",NA,5000000000,NA,7,NA,1,2019-04-02 15:07:49,2018-06-06 05:00:00,1,1,"Capturan a Bartolo Valencia, exalcalde de Buenaventura, por apropiarse de 5.000 millones de pesos destinados a proyectos de educación.",1,0,1,5,"Derechos sociales, económicos y culturales",Qué mala educación...,"Capturan a Bartolo Valencia, exalcalde de Buenaventura, por apropiarse de 5.000 millones de pesos destinados a proyectos de educación.",1146,Bartolo  Valencia Ramos,Actor involucrado,Autoridad electa por votación popular,No Aplica,Alcaldía municipal de Buenaventura,Alcalde municipal (2012-2015),Rama Ejecutiva,Sí,Partido Liberal Colombiano,BUENAVENTURA,76109,VALLE DEL CAUCA,76000,Educación,NA,2012,2015,"Bajos estándares éticos,Extralimitación de funciones",Contratación pública,Corrupción Administrativa,No Aplica,"Celebración indebida de contratos ,Concierto para delinquir,Peculado",Pequeña corrupción,informe II 2016-2018,Capturado,NA,Penal,Fallo: culpable,Fiscalía General de la Nación,2016
222,"2012-2015, Buenaventura, Valle del Cauca,  corrupción administrativa, captura exalcalde de Buenaventura (2012-2015) Bartolo Valencia",Qué mala educación...,1504,611,-77.01972119999999,3.8830471,"Entre 2012 y 2015, Bartolo Valencia Ramos, alcalde de Buenaventura, junto con Carlos Riascos, secretario de educación de la época, y Rosminda Sanclemente, rectora de un centro educativo del municipio, se habrían apropiado de recursos de cuatro contratos por un valor cercano a los 5.000 millones de pesos destinados a servicios para estudiantes de bajos recursos. Según la investigación de la Fiscalía General de la Nación, los tres funcionarios se apropiaron de ese dinero de diversas maneras, entre ellas a través de subcontratación con terceros e inscripción de estudiantes “fantasma”, sustentando por ejemplo servicios a 100 estudiantes que no existen. En 2015 el alcalde fue capturado y posteriormente dejado en libertad, pero en marzo de 2016 fue recapturado junto con el secretario de educación y la rectora para responder por los delitos de peculado, concierto para delinquir y contrato sin el cumplimiento de los requisitos legales.",NA,5000000000,NA,7,NA,1,2019-04-02 15:07:49,2018-06-06 05:00:00,1,1,"Capturan a Bartolo Valencia, exalcalde de Buenaventura, por apropiarse de 5.000 millones de pesos destinados a proyectos de educación.",1,0,1,5,"Derechos sociales, económicos y culturales",Qué mala educación...,"Capturan a Bartolo Valencia, exalcalde de Buenaventura, por apropiarse de 5.000 millones de pesos destinados a proyectos de educación.",1061,Carlos Enrique Riascos Mosquera,Actor involucrado,Servidores públicos,No Aplica,Alcaldía de Buenaventura,Secretario  de Educación Municipal de Buenaventura,Rama Ejecutiva,No,No Disponible,BUENAVENTURA,76109,VALLE DEL CAUCA,76000,Educación,NA,2012,2015,"Bajos estándares éticos,Extralimitación de funciones",Contratación pública,Corrupción Administrativa,No Aplica,"Celebración indebida de contratos ,Concierto para delinquir,Peculado",Pequeña corrupción,informe II 2016-2018,Capturado,NA,Penal,Fallo: culpable,Fiscalía General de la Nación,2016
222,"2012-2015, Buenaventura, Valle del Cauca,  corrupción administrativa, captura exalcalde de Buenaventura (2012-2015) Bartolo Valencia",Qué mala educación...,1504,611,-77.01972119999999,3.8830471,"Entre 2012 y 2015, Bartolo Valencia Ramos, alcalde de Buenaventura, junto con Carlos Riascos, secretario de educación de la época, y Rosminda Sanclemente, rectora de un centro educativo del municipio, se habrían apropiado de recursos de cuatro contratos por un valor cercano a los 5.000 millones de pesos destinados a servicios para estudiantes de bajos recursos. Según la investigación de la Fiscalía General de la Nación, los tres funcionarios se apropiaron de ese dinero de diversas maneras, entre ellas a través de subcontratación con terceros e inscripción de estudiantes “fantasma”, sustentando por ejemplo servicios a 100 estudiantes que no existen. En 2015 el alcalde fue capturado y posteriormente dejado en libertad, pero en marzo de 2016 fue recapturado junto con el secretario de educación y la rectora para responder por los delitos de peculado, concierto para delinquir y contrato sin el cumplimiento de los requisitos legales.",NA,5000000000,NA,7,NA,1,2019-04-02 15:07:49,2018-06-06 05:00:00,1,1,"Capturan a Bartolo Valencia, exalcalde de Buenaventura, por apropiarse de 5.000 millones de pesos destinados a proyectos de educación.",1,0,1,5,"Derechos sociales, económicos y culturales",Qué mala educación...,"Capturan a Bartolo Valencia, exalcalde de Buenaventura, por apropiarse de 5.000 millones de pesos destinados a proyectos de educación.",1185,Rosminda Sanclemente,Actor involucrado,Servidores públicos,No Aplica,Institución educativa de Buenaventura,Rectora,No Aplica,No,No Disponible,BUENAVENTURA,76109,VALLE DEL CAUCA,76000,Educación,NA,2012,2015,"Bajos estándares éticos,Extralimitación de funciones",Contratación pública,Corrupción Administrativa,No Aplica,"Celebración indebida de contratos ,Concierto para delinquir,Peculado",Pequeña corrupción,informe II 2016-2018,Capturado,NA,Penal,Fallo: culpable,Fiscalía General de la Nación,2016
252,"2015, Bolívar, Corrupción Administrativa , Detrimento Patrimonial en el ICBF",Familia que negocia unida...,NA,591,-74.16734130156249,8.629708092871523,"En 2015, la Fundación Prociencia y el Instituto Colombiano de Bienestar Familiar (ICBF) suscribieron un contrato por más de 7 mil millones de pesos para la alimentación de niños de cero hasta cinco años de edad y madres gestantes en 10 municipios del departamento de Bolívar. En 2016, la Fiscalía General de la Nación inició una investigación que determinó la apropiación de aproximadamente 1.500 millones de pesos a través del cobro de refrigerios que no se entregaron y sobrecostos en conceptos no autorizados en el contrato. También se determinó que Distrimarket MYM SAS, Minimimarket SAS, y Comercio y Logística Integral SAS, empresas proveedoras de insumos alimenticios, se crearon un mes después de la firma del contrato. Iván Camilo y María Camila Mendonza Pérez, representantes legales, resultaron ser los hijos de la tesorera y sobrinos de Olga Lucía Pérez Gutiérrez, representante legal de fundación,. Los implicados respondieron por los delitos de peculado por apropiación, concierto para delinquir y falsedad en documento privado. En diciembre de 2016 recobraron la libertad por falta de pruebas. No obstante, en enero del 2018, en segunda instancia, se expidió medida de aseguramiento de detención preventiva en centro carcelario y fueron recapturado en febrero de 2018.",7818524064,1566150198,NA,7,NA,1,2019-03-21 12:06:10,2018-02-20 05:00:00,1,1,Se revela Detrimento Patrimonial en el ICBF de Bolívar,0,0,1,5,"Derechos sociales, económicos y culturales",Familia que negocia unida...,Se revela Detrimento Patrimonial en el ICBF de Bolívar,1315,Flor Elena  Pérez Gutiérrez,Actor involucrado,Miembro del tercer sector,No Aplica,Fundacion Prociencia,Tesorera,No Aplica,No,No Disponible,NA,NA,BOLIVAR,13000,Educación,NA,2015,2018,NA,Provisión de bienes y servicios,Corrupción Administrativa,No Aplica,"Concierto para delinquir,Falsedad en documento privado,Peculado",Gran corrupción,informe II 2016-2018,Capturado,medida de aseguramiento de detención preventiva en centro carcelario,Penal,Fallo de segunda instancia,Fiscalía General de la Nación,2018
